model,posterior
roc_auc,0.7074539022440062
roc_auc,0.7014662546474774
roc_auc,0.7135602207826266
roc_auc,0.7096193520736697
roc_auc,0.7159286072622644
roc_auc,0.7063771666348213
roc_auc,0.7082355137560548
roc_auc,0.7168615171378085
roc_auc,0.7103005833698247
roc_auc,0.7192409827147337
roc_auc,0.7053573998773236
roc_auc,0.7303319701648515
roc_auc,0.6941296397627312
roc_auc,0.7154295006182446
roc_auc,0.7138651051163152
roc_auc,0.716293082287705
roc_auc,0.7199469821944458
roc_auc,0.7200116418378191
roc_auc,0.7057574553583869
roc_auc,0.723119821107435
roc_auc,0.7163259672725556
roc_auc,0.706599375970012
roc_auc,0.7239001516603931
roc_auc,0.7015985785108164
roc_auc,0.7042099490554373
roc_auc,0.7140480413994503
roc_auc,0.7094714317874019
roc_auc,0.7283155948887758
roc_auc,0.7128771004405212
roc_auc,0.7134828337575915
roc_auc,0.7156237019347403
roc_auc,0.7103300873722332
roc_auc,0.7085858338275904
roc_auc,0.70600337815569425
roc_auc,0.7222582331983434
roc_auc,0.7057912213394923
roc_auc,0.7228683945291015
roc_auc,0.7040139370848144
roc_auc,0.7263605870726746
roc_auc,0.7052145275347643
roc_auc,0.7241294915631328
roc_auc,0.7189131381848339
roc_auc,0.7095862501001822
roc_auc,0.724340413906357
roc_auc,0.7140441336344328
roc_auc,0.714645736060243
roc_auc,0.7171121057423047
roc_auc,0.714473106573719
roc_auc,0.7110940930256459
roc_auc,0.7093516541453575
roc_auc,0.7245809127756083
roc_auc,0.7049457846395256
roc_auc,0.7163803338452899
roc_auc,0.7116871624508961
roc_auc,0.7120123418696619
roc_auc,0.7127063043561647
roc_auc,0.7257369556521117
roc_auc,0.7156132607710527
roc_auc,0.7089850093120803
roc_auc,0.715339042482078
roc_auc,0.7289615693303424
roc_auc,0.7214453325579574
roc_auc,0.713240224169316
roc_auc,0.7148435941094212
roc_auc,0.7143151697119267
roc_auc,0.7072463941428343
roc_auc,0.7114719503510715
roc_auc,0.720941435736195
roc_auc,0.7046927046824535
roc_auc,0.7194667682495012
roc_auc,0.7316582110122571
roc_auc,0.7031454962710426
roc_auc,0.7086808357735146
roc_auc,0.7188529493224541
roc_auc,0.7092480294948029
roc_auc,0.7209000628436164
roc_auc,0.7136235351845656
roc_auc,0.7151230825897236
roc_auc,0.707757058024788
